position,omega,chrom,pos_cum
332.0,0.0,1,332.0
30780.3652,1.528046,1,30780.3652
61228.7305,3.490125,1,61228.7305
91677.0938,5.472826,1,91677.0938
122125.4609,1.975587,1,122125.4609
152573.8281,2.852629,1,152573.8281
183022.1875,3.687375,1,183022.1875
213470.5469,2.550158,1,213470.5469
243918.9062,45.917679,1,243918.9062
274367.2812,2.318889,1,274367.2812
304815.6562,4.09156,1,304815.6562
335264.0312,2.148497,1,335264.0312
365712.4062,3.148521,1,365712.4062
396160.7812,2.148719,1,396160.7812
426609.1562,2.345323,1,426609.1562
457057.5312,3.069782,1,457057.5312
487505.9062,3.118289,1,487505.9062
517954.2812,6.653551,1,517954.2812
548402.625,2.054799,1,548402.625
578851.0,2.021795,1,578851.0
609299.375,2.987224,1,609299.375
639747.75,2.212916,1,639747.75
670196.125,2.028897,1,670196.125
700644.5,11.241132,1,700644.5
731092.875,5.119068,1,731092.875
761541.25,2.044288,1,761541.25
791989.625,3.517907,1,791989.625
822438.0,4.655244,1,822438.0
852886.375,2.24163,1,852886.375
883334.75,4.214724,1,883334.75
913783.125,4.947672,1,913783.125
944231.5,3.301255,1,944231.5
974679.875,2.46717,1,974679.875
1005128.25,5.730639,1,1005128.25
1035576.625,4.354317,1,1035576.625
1066025.0,5.923654,1,1066025.0
1096473.375,1.944565,1,1096473.375
1126921.75,7.01981,1,1126921.75
1157370.125,6.636451,1,1157370.125
1187818.5,1.670004,1,1187818.5
1218266.875,12.967326,1,1218266.875
1248715.25,4.872769,1,1248715.25
1279163.625,2.582064,1,1279163.625
1309612.0,9.129764,1,1309612.0
1340060.375,3.253902,1,1340060.375
1370508.75,2.435593,1,1370508.75
1400957.125,14.511015,1,1400957.125
1431405.5,8.355511,1,1431405.5
1461853.875,5.96207,1,1461853.875
1492302.25,3.356487,1,1492302.25
1522750.625,4.555795,1,1522750.625
1553199.0,25.077703,1,1553199.0
1583647.375,4.396138,1,1583647.375
1614095.75,3.196906,1,1614095.75
1644544.125,2.906312,1,1644544.125
1674992.5,2.697953,1,1674992.5
1705440.875,2.725684,1,1705440.875
1735889.25,6.458769,1,1735889.25
1766337.625,7.612851,1,1766337.625
1796786.0,5.09145,1,1796786.0
1827234.375,2.503855,1,1827234.375
1857682.75,10.10994,1,1857682.75
1888131.125,8.908733,1,1888131.125
1918579.5,1.609755,1,1918579.5
1949027.875,5.829596,1,1949027.875
1979476.25,1.972888,1,1979476.25
2009924.625,2.432578,1,2009924.625
2040373.0,8.866155,1,2040373.0
2070821.375,1.982785,1,2070821.375
2101269.75,7.92847,1,2101269.75
2131718.0,5.179074,1,2131718.0
2162166.25,6.370255,1,2162166.25
2192614.5,2.933789,1,2192614.5
2223062.75,7.571979,1,2223062.75
2253511.0,6.077969,1,2253511.0
2283959.25,4.760951,1,2283959.25
2314407.5,4.349225,1,2314407.5
2344855.75,4.783526,1,2344855.75
2375304.0,7.078712,1,2375304.0
2405752.25,3.165175,1,2405752.25
2436200.5,5.336792,1,2436200.5
2466648.75,2.815009,1,2466648.75
2497097.0,3.757738,1,2497097.0
2527545.25,2.816685,1,2527545.25
2557993.5,6.164162,1,2557993.5
2588441.75,3.228692,1,2588441.75
2618890.0,2.607332,1,2618890.0
2649338.25,3.252101,1,2649338.25
2679786.5,7.675317,1,2679786.5
2710234.75,4.91879,1,2710234.75
2740683.0,2.828019,1,2740683.0
2771131.25,5.966735,1,2771131.25
2801579.5,1.736045,1,2801579.5
2832027.75,6.723132,1,2832027.75
2862476.0,3.494199,1,2862476.0
2892924.25,3.043851,1,2892924.25
2923372.5,7.597269,1,2923372.5
2953820.75,4.009995,1,2953820.75
2984269.0,5.226029,1,2984269.0
3014717.25,14.119211,1,3014717.25
3045165.5,37.304413,1,3045165.5
3075613.75,12.183068,1,3075613.75
3106062.0,3.062114,1,3106062.0
3136510.25,3.447961,1,3136510.25
3166958.5,5.126996,1,3166958.5
3197406.75,3.412344,1,3197406.75
3227855.0,2.204947,1,3227855.0
3258303.25,3.513422,1,3258303.25
3288751.5,5.379486,1,3288751.5
3319199.75,3.536489,1,3319199.75
3349648.0,3.589495,1,3349648.0
3380096.25,4.260404,1,3380096.25
3410544.5,9.71029,1,3410544.5
3440992.75,4.548296,1,3440992.75
3471441.0,7.028877,1,3471441.0
3501889.25,2.913468,1,3501889.25
